Ensemble technique,MSE
Max Voting,0.125
Averaging,0.14130434782608695
Weighted Averaging,0.16847826086956522
Stacking,0.11956521739130435
Bagging,0.15217391304347827
AdaBoost,0.18478260869565216
Gradient Boosting,0.1358695652173913
